"","PC Name","No","Type","State","Winning Candidate","Party","Electors","Votes","Turnout","Margin","Margin %"
"103","Gautam Buddh Nagar",13,"GEN","Uttar Pradesh [2000 Onwards]","Dr.Mahesh Sharma","Bharatiya Janta Party",1986117,1199238,"60.40%",280212,"23.40%"
"104","Gaya",38,"SC","Bihar [2000 Onwards]","Hari Manjhi","Bharatiya Janta Party",1500751,809378,"53.90%",115504,"14.30%"
"105","Ghaziabad",12,"GEN","Uttar Pradesh [2000 Onwards]","Vijay Kumar Singh","Bharatiya Janta Party",2357546,1342320,"56.90%",567260,"42.30%"
"106","Ghazipur",75,"GEN","Uttar Pradesh [2000 Onwards]","Manoj Sinha","Bharatiya Janta Party",1801519,986673,"54.80%",32452,"3.30%"
"107","Ghosi",70,"GEN","Uttar Pradesh [2000 Onwards]","Harinarayan Rajbhar","Bharatiya Janta Party",1891113,1039656,"55.00%",146015,"14.00%"
"108","Giridih",6,"GEN","Jharkhand","Ravindra Kumar Pandey","Bharatiya Janta Party",1515137,969997,"64.00%",40313,"4.20%"
"109","Godda",3,"GEN","Jharkhand","Nishikant Dubey","Bharatiya Janta Party",1590628,1049442,"66.00%",60682,"5.80%"
"110","Gonda",59,"GEN","Uttar Pradesh [2000 Onwards]","Kirti Vardhan Singh","Bharatiya Janta Party",1710827,873732,"51.10%",160416,"18.40%"
"111","Gopalganj",17,"SC","Bihar [2000 Onwards]","Janak Ram","Bharatiya Janta Party",1652767,903583,"54.70%",286936,"31.80%"
"112","Gorakhpur",64,"GEN","Uttar Pradesh [2000 Onwards]","Adityanath","Bharatiya Janta Party",1904498,1040199,"54.60%",312783,"30.10%"
"113","Gurdaspur",1,"GEN","Punjab","Vinod Khanna","Bharatiya Janta Party",1500337,1042699,"69.50%",136065,"13.00%"
"114","Gurgaon",9,"GEN","Haryana","Inderjit Singh Rao","Bharatiya Janta Party",1845623,1320619,"71.60%",274722,"20.80%"
"115","Gwalior",3,"GEN","Madhya Pradesh [2000 Onwards]","Narendra Singh Tomar","Bharatiya Janta Party",1877003,990912,"52.80%",29699,"3.00%"
"116","Hamirpur",3,"GEN","Himachal Pradesh","Anurag Singh Thakur","Bharatiya Janta Party",1247699,835205,"66.90%",98403,"11.80%"
"117","Hamirpur",47,"GEN","Uttar Pradesh [2000 Onwards]","Kunwar Pushpendra Singh Chandel","Bharatiya Janta Party",1737993,975240,"56.10%",266788,"27.40%"
